m.0h1fn8h	Deep learning	education.field_of_study
m.0280z8	MIT Computer Science and Artificial Intelligence Laboratory	education.department
m.03y9s	Information retrieval	education.field_of_study
m.01hyh_	Machine learning	education.field_of_study
m.01_bbm	Question answering	common.topic
m.0h93x	Noun phrase	base.wordnet
m.017b3j	The Wall Street Journal	book.newspaper
m.049w3z8	Speech Recognition	education.field_of_study
m.01xzx	Computer vision	education.field_of_study
m.0hjlw	Reinforcement learning	education.field_of_study
m.059nn	Natural language	common.topic
m.0grsv6	Autoencoder	computer.algorithm
m.0_lm0yb	Ontology Systems	common.topic
m.0g57xn	Sentiment analysis	computer.computational_problem
m.01pf4l	SAP SE	business.business_operation
m.02qmzyq	Long short term memory	common.topic
m.05flf	Natural language processing	education.field_of_study
m.076k0	Semantic Web	education.field_of_study
m.0gyvy46	Massive open online course	internet.website_category
m.03j0x	Human–computer interaction	education.field_of_study
m.064dh3	Eye movement	common.topic
m.031f5p	Cluster analysis	computer.algorithm
m.07pr575	semantic relation.noun.01	base.wordnet
m.015xs6	Efficient-market hypothesis	common.topic
m.0fsz7r	The Word	common.topic
m.07yl0	Vector space	base.mathematics
m.0176ty	Estimation	common.topic
m.064r8p6	Mental representation	common.topic
m.0bs2j8q	Big data	business.industry
m.025t8qq	North Queensland	location.location
m.0270bhc	Fusionism	common.topic
m.03x_t5q	Object detection	computer.computational_problem
m.05dhw	Artificial neural network	computer.algorithm
m.0262_1n	Implicit solvation	common.topic
m.01rl3g	Maxima and minima	base.mathematics
m.02gd8g	Information geometry	common.topic
m.02s06c	Image	common.topic
m.02sp_v	Grammy Award for Best Music Film	award.award_category
m.0cm90cn	Panorama, Cape Town	location.location
m.0jt3_q3	Data science	common.topic
m.0h0v_v	Statistical parsing	computer.computational_problem
m.05m9sn3	Semantic Technology Conference	conferences.conference_series
m.0lqtr	Augmented reality	education.field_of_study
m.07q284m	data encryption.noun.01	base.wordnet
m.01rkh6l	Imbalanced	common.topic
m.02ttd9	Recommender system	common.topic
m.01q0j8	Mixture	common.topic
m.06w4gkl	Inverse	common.topic
m.0b6vrv	Inductive transfer	common.topic
m.0gsgr	CNN	computer.algorithm
m.02jj2w	Image segmentation	computer.computational_problem
m.06g1vhm	dynamic programming	computer.algorithm
m.04gk4ls	Natural language user interface	common.topic
m.0mkz	Artificial intelligence	education.field_of_study
m.05sfxb	Visual Prolog	computer.programming_language
m.01m3jv2	Contact	common.topic
m.01klyk	Prediction	common.topic
m.0582c	Malware	computer.software_genre
m.041r19	Jacuzzi	business.business_operation
m.02wxbd	Computer forensics	education.field_of_study
m.0fskw9h	Words	common.topic
m.03rpcz	Keynote	event.type_of_public_presentation
m.06kwlsy	Information Theory	education.field_of_study
m.025rqlz	Morphology	education.field_of_study
m.01r_h	Category theory	education.field_of_study
m.0cgts80	Graph theory	education.field_of_study
m.0100p8rh	Smart thermostat	common.topic
m.0ktnkmc	Vulnerability	common.topic
m.02ph2	Exploit	common.topic
m.020mfr	Video game industry	business.industry
m.05gl9f	Hospitality management studies	education.field_of_study
m.073ns	Synchronization	common.topic
m.01b23t	Evolutionary algorithm	computer.algorithm
m.0dr_0yl	Spatial	common.topic
m.0bstfx	Composition studies	common.topic
m.0355y7	Church service	common.topic
m.01j4bc	Mobile payment	common.topic
m.0gzw6z	Elmer Gantry	film.film
m.02wchwx	Axis Bank	business.business_operation
m.02kdls	Hutchison 3G	business.business_operation
m.0fswxg	Softmax function	base.mathematics
m.0jl8r	Categorization	common.topic
m.068jsn	Link aggregation	common.topic
m.0168hv	Cost	common.topic
m.01lm9y	varieties of Chinese	common.topic
m.0f_14n_	Depth	common.topic
m.04wn_3	Toy camera	common.topic
m.02fkdb	Traffic analysis	common.topic
m.03yqv	Internet Protocol	common.topic
m.03wtp3	Lifelong learning	computer.algorithm
m.0nfwmd0	The Collective	common.topic
m.026x2jj	Robust optimization	common.topic
m.0h3wrl9	Production Planning and Control	common.topic
m.010gpp	Memory hierarchy	common.topic
m.0pqwt	Pearson hashing	common.topic
m.0b2g1h	Comparability	common.topic
m.0gw___t	Corpora in Translation Studies	common.topic
m.0jwvf5b	Knowledge Graph	common.topic
m.083br0	Job hunting	common.topic
m.02_myr	Intelligence, surveillance, target acquisition, and reconnaissance	common.topic
m.02q7z	Elliptic curve cryptography	common.topic
m.01gl0f	Parametric statistics	common.topic
m.024354	Maximum flow problem	computer.computational_problem
m.0kynl67	Deep	common.topic
m.017xbml	Weight	common.topic
m.06zsn1v	USNS Grasp (T-ARS-51)	common.topic
m.026_nb5	Dirichlet process	base.mathematics
m.0n5xp	Object Linking and Embedding	computer.computational_problem
m.01w3nx	Graph drawing	common.topic
m.0105ntqp	Robust principal component analysis	computer.algorithm
m.08thrh	Differential evolution	computer.algorithm
m.0260j49	Autodesk Revit	computer.software
m.0dvj7tx	Document	common.topic
m.02xntw	Logical atomism	common.topic
m.02v74t	Duality	common.topic
m.0k0r5h1	Variable neighborhood search	computer.computational_problem
m.0c3qfnq	Urban public transportation	common.topic
m.03p39fw	TeleCommunication Systems	business.business_operation
m.0j9kbbz	Coursera	business.business_operation
m.0jt8j1b	edX	business.business_operation
m.080955	Volume license key	common.topic
m.01jnzj	Construction	common.topic
m.02prgkk	The Go Game	common.topic
m.023pcn	Trait theory	education.field_of_study
m.02p3bs5	Sparse	common.topic
m.01ht9r	Hypergraph	common.topic
m.02r05_z	Directed	common.topic
m.018y_6	Inventory	common.topic
m.03yb8hb	Clojure	computer.programming_language
m.024hw2	Time series	common.topic
m.0b6xt	Convolutional code	common.topic
